time	V(vout)
4.998205994849551e-03	9.466144e-02
5.000000000000000e-03	9.466144e-02
Step Information: Run=103  (Step: 103/1000)
0.000000000000000e+00	1.029533e-01
4.885901307349554e-03	1.029533e-01
4.998205994849551e-03	1.029533e-01
5.000000000000000e-03	1.029533e-01
Step Information: Run=104  (Step: 104/1000)
0.000000000000000e+00	9.666046e-02
4.885901307349554e-03	9.666046e-02
4.998205994849551e-03	9.666046e-02
5.000000000000000e-03	9.666046e-02
Step Information: Run=105  (Step: 105/1000)
0.000000000000000e+00	1.096498e-01
4.885901307349554e-03	1.096498e-01
4.998205994849551e-03	1.096498e-01
5.000000000000000e-03	1.096498e-01
Step Information: Run=106  (Step: 106/1000)
0.000000000000000e+00	9.657050e-02
4.885901307349554e-03	9.657050e-02
4.998205994849551e-03	9.657050e-02
5.000000000000000e-03	9.657050e-02
Step Information: Run=107  (Step: 107/1000)
0.000000000000000e+00	8.771066e-02
4.885901307349554e-03	8.771066e-02
4.998205994849551e-03	8.771066e-02
5.000000000000000e-03	8.771066e-02
Step Information: Run=108  (Step: 108/1000)
0.000000000000000e+00	1.029148e-01
4.885901307349554e-03	1.029148e-01
4.998205994849551e-03	1.029148e-01
5.000000000000000e-03	1.029148e-01
Step Information: Run=109  (Step: 109/1000)
0.000000000000000e+00	9.070021e-02
4.885901307349554e-03	9.070021e-02
4.998205994849551e-03	9.070021e-02
5.000000000000000e-03	9.070021e-02
Step Information: Run=110  (Step: 110/1000)
0.000000000000000e+00	1.134181e-01
4.885901307349554e-03	1.134181e-01
4.998205994849551e-03	1.134181e-01
5.000000000000000e-03	1.134181e-01
Step Information: Run=111  (Step: 111/1000)
0.000000000000000e+00	1.012084e-01
4.885901307349554e-03	1.012084e-01
4.998205994849551e-03	1.012084e-01
5.000000000000000e-03	1.012084e-01
Step Information: Run=112  (Step: 112/1000)
0.000000000000000e+00	8.689176e-02
4.885901307349554e-03	8.689176e-02
4.998205994849551e-03	8.689176e-02
5.000000000000000e-03	8.689176e-02
Step Information: Run=113  (Step: 113/1000)
0.000000000000000e+00	9.591711e-02
4.885901307349554e-03	9.591711e-02
4.998205994849551e-03	9.591711e-02
5.000000000000000e-03	9.591711e-02
Step Information: Run=114  (Step: 114/1000)
0.000000000000000e+00	9.180689e-02
4.885901307349554e-03	9.180689e-02
4.998205994849551e-03	9.180689e-02
5.000000000000000e-03	9.180689e-02
Step Information: Run=115  (Step: 115/1000)
0.000000000000000e+00	9.704541e-02
4.885901307349554e-03	9.704541e-02
4.998205994849551e-03	9.704541e-02
5.000000000000000e-03	9.704541e-02
Step Information: Run=116  (Step: 116/1000)
0.000000000000000e+00	1.017636e-01
4.885901307349554e-03	1.017636e-01
4.998205994849551e-03	1.017636e-01
5.000000000000000e-03	1.017636e-01
Step Information: Run=117  (Step: 117/1000)
0.000000000000000e+00	9.602289e-02
4.885901307349554e-03	9.602289e-02
4.998205994849551e-03	9.602289e-02
5.000000000000000e-03	9.602289e-02
Step Information: Run=118  (Step: 118/1000)
0.000000000000000e+00	9.868016e-02
4.885901307349554e-03	9.868016e-02
4.998205994849551e-03	9.868016e-02
5.000000000000000e-03	9.868016e-02
Step Information: Run=119  (Step: 119/1000)
0.000000000000000e+00	1.123342e-01
4.885901307349554e-03	1.123342e-01
4.998205994849551e-03	1.123342e-01
5.000000000000000e-03	1.123342e-01
Step Information: Run=120  (Step: 120/1000)
0.000000000000000e+00	1.085304e-01
4.885901307349554e-03	1.085304e-01
4.998205994849551e-03	1.085304e-01
5.000000000000000e-03	1.085304e-01
Step Information: Run=121  (Step: 121/1000)
0.000000000000000e+00	9.122806e-02
4.885901307349554e-03	9.122806e-02
4.998205994849551e-03	9.122806e-02
5.000000000000000e-03	9.122806e-02
Step Information: Run=122  (Step: 122/1000)
0.000000000000000e+00	9.640130e-02
4.885901307349554e-03	9.640130e-02
4.998205994849551e-03	9.640130e-02
5.000000000000000e-03	9.640130e-02
Step Information: Run=123  (Step: 123/1000)
0.000000000000000e+00	9.861071e-02
4.885901307349554e-03	9.861071e-02
